192.168.1.1 - - [01/Jan/2024:12:01:45 +0000] "GET /api/data HTTP/1.1" 200 1200
10.0.0.2 - user456 [01/Jan/2024:12:02:30 +0000] "POST /login HTTP/1.1" 401 85
192.168.1.1 - user123 [01/Jan/2024:12:03:15 +0000] "GET /api/info HTTP/1.0" 200 450
172.16.0.5 - - [01/Jan/2024:12:04:22 +0000] "GET /static/img.png HTTP/1.1" 404 0
192.168.1.1 - - [01/Jan/2024:12:05:10 +0000] "GET /api/users HTTP/1.1" 200 890
10.0.0.2 - user456 [01/Jan/2024:12:06:45 +0000] "GET /dashboard HTTP/1.1" 200 1560
192.168.1.3 - - [01/Jan/2024:12:07:30 +0000] "POST /api/upload HTTP/1.1" 500 0
172.16.0.5 - admin [01/Jan/2024:12:08:15 +0000] "GET /admin/panel HTTP/1.1" 403 75
192.168.1.1 - user123 [01/Jan/2024:12:09:20 +0000] "PUT /api/settings HTTP/1.1" 204 0
10.0.0.2 - user456 [01/Jan/2024:12:10:05 +0000] "DELETE /api/session HTTP/1.1" 200 45
192.168.1.4 - - [01/Jan/2024:12:11:40 +0000] "GET /products HTTP/1.1" 200 2340
172.16.0.5 - - [01/Jan/2024:12:12:25 +0000] "GET /favicon.ico HTTP/1.1" 404 0
192.168.1.1 - user123 [01/Jan/2024:12:13:10 +0000] "GET /api/notifications HTTP/1.1" 200 670
10.0.0.2 - user456 [01/Jan/2024:12:14:55 +0000] "POST /api/comments HTTP/1.1" 201 120
192.168.1.3 - - [01/Jan/2024:12:15:30 +0000] "GET /robots.txt HTTP/1.1" 200 125
